numero,nombre,url,attachment_root_items,attachment_items,media_category_terms,error
180,CEIP Rafael Gaviño ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiprafaelgavinodelbosque,0,0,86,
181,IES El Doctoral ,https://www3.gobiernodecanarias.org/medusa/mediateca/ieseldoctoral,313,435,86,
182,Mediateca IES Jinámar,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjinamar,227,234,86,
183,IES EL BATÁN,https://www3.gobiernodecanarias.org/medusa/mediateca/ieselbatan,0,0,86,
184,CEP La Gomera,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofeslagomera,33,44,86,
185,CEIP La Lajita,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplalajita,326,326,86,
186,CEIP TARAJALEJO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptarajalejo,79,80,86,
187,MEDIATECA del CEPA Farola de Santa Cruz,https://www3.gobiernodecanarias.org/medusa/mediateca/cepafaroladesantacruz,123,125,90,
188,CEIP LOPE DE GUERRA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplopedeguerra,36,36,87,
189,Mediateca IES Doramas,https://www3.gobiernodecanarias.org/medusa/mediateca/iesdoramas,14,14,87,
190,CEIP Taibique,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptaibique,59,59,86,
191,Canal CEIP Las Dunas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplasdunas,168,168,86,
192,CEIP. SAMOGA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsamoga,129,152,86,
193,CEIP Agustín Hernández Díaz,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipagustinhernandezdiaz,195,195,86,
194,IES AGUSTÍN ESPINOSA -LANZAROTE,https://www3.gobiernodecanarias.org/medusa/mediateca/iesagustinespinosa,9,9,86,
195,GuajaraTube,https://www3.gobiernodecanarias.org/medusa/mediateca/ceoguajara,12,16,86,
196,CEIP ERNESTO CASTRO FARIÑAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipernestocastrofarina,65,65,86,
197,CEIP GUIGUAN,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipguiguan,14,14,87,
198,Europa-Néstor,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipeuropanestoralamo,729,729,87,
199,ALMACÉN DIGITAL,https://www3.gobiernodecanarias.org/medusa/mediateca/ieslasveredillas,0,0,86,
200,IES Tomás de Iriarte,https://www3.gobiernodecanarias.org/medusa/mediateca/iestomasdeiriarte,6,8,87,
201,Repositorio,https://www3.gobiernodecanarias.org/medusa/mediateca/easdfernandoestevez,3,3,4,
202,APRENDIENDO A PENSAR - EGA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipemeteriogutierrezalbeloaguagarcia,198,351,86,
203,CEIP ROQUE AGUAYRO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiproqueaguayro,26,26,86,
204,Mediateca del IES SAN MATÍAS,https://www3.gobiernodecanarias.org/medusa/mediateca/iessanmatias,655,655,86,
205,VídeoClub El Tablero,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipeltablero,275,275,86,
206,Blog Chimisay,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipchimisay,179,179,86,
207,CEIP SAN FERNANDO DE MASPALOMAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsanfernandodemaspalomas,51,85,86,
208,CEIP MARIA SUÁREZ FIOL,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmariasuarezfiol,73,73,86,
209,MediateKa,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippadrecollado,19,19,86,
210,MEDIATECA CEIP TEOFILO PÉREZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipteofiloperez,394,405,86,
211,CEIP DR. JUAN ESPINO SÁNCHEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipdoctorjuanespinosanchez,43,44,86,
212,CEPA La Gomera,https://www3.gobiernodecanarias.org/medusa/mediateca/cepalagomera,0,0,86,
213,IES BLAS CABRERA FELIPE,https://www3.gobiernodecanarias.org/medusa/mediateca/iesblascabrerafelipe,69,69,86,
214,CEIP Cesar Manrique Cabrera,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcesarmanriquecabrera,672,681,90,
215,CEIP ALONSO NAVA Y GRIMÓN,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalonsonavaygrimon,3,3,86,
216,CEIP GUAYONGE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipguayonge,1,1,86,
217,CEIP SAN JOSÉ ARTESANO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsanjoseartesano,14,24,86,
218,Vídeos de centro,https://www3.gobiernodecanarias.org/medusa/mediateca/iestonygallardo,11,11,86,
219,MEDIATECA CEIP DOMÍNGUEZ ALFONSO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipdominguezalfonso,73,81,87,
220,Mediateca del CEIP Bañaderos,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipbanaderos,3,3,86,
