Número,Nombre,URL
239,CEIP Cesar Manrique Cabrera,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcesarmanriquecabrera
240,CEIP ALONSO NAVA Y GRIMÓN,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalonsonavaygrimon
241,CEIP GUAYONGE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipguayonge
242,CEIP SAN JOSÉ ARTESANO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsanjoseartesano
243,Vídeos de centro,https://www3.gobiernodecanarias.org/medusa/mediateca/iestonygallardo
244,MEDIATECA CEIP DOMÍNGUEZ ALFONSO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipdominguezalfonso
245,Mediateca del CEIP Bañaderos,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipbanaderos
246,CAPELLANÍA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcapellaniadelyagabo
247,Mediateca CEO Antigua,https://www3.gobiernodecanarias.org/medusa/mediateca/ceoantigua
248,CEIP La Estrella,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplaestrella
249,IES Cruz Santa,https://www3.gobiernodecanarias.org/medusa/mediateca/iescruzsanta
250,IES Benito Pérez Armas,https://www3.gobiernodecanarias.org/medusa/mediateca/iesbenitoperezarmas
251,CEO LEONCIO RODRÍGUEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceoleonciorodriguez
252,CEIP FEDERICO GARCÍA LORCA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipfedericogarcialorca
253,CEIP LA GOLETA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplagoleta
254,MEDIATECA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalfonsoxelsabio
255,CEIP San José de Calasanz,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsanjosedecalasanz
256,CEIP TAJINASTE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptajinaste
257,El Faro,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsardinadelnorte
258,Mediateca CEIP Las Torres,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplastorres
259,Ceip José Sánchez y Sánchez,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjosesanchezysanchez
260,CEO San Miguel,https://www3.gobiernodecanarias.org/medusa/mediateca/ceoensanmigueldeabona
261,ceipnievestoledo,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipnievestoledo
262,CEIP PLAYA BLANCA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipplayablanca
263,PARQUE LA REINA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipparquelareina
264,CastriMedia,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmariacastrillogarcia
265,iesteobaldopower,https://www3.gobiernodecanarias.org/medusa/mediateca/iesteobaldopower
266,CEIP BILINGÜE LOS TARAHALES,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplostarahales
267,CEIP NUESTRA SEÑORA DE LA CONCEPCIÓN,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipnuestrasenoradelaconcepcion
268,CEPA Gáldar,https://www3.gobiernodecanarias.org/medusa/mediateca/cepagaldar
269,Mediateca CEIP Concepción Rodríguez Artiles,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipconcepcionrodriguezartiles
270,ceip uga,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipuga
271,CEIP LA GARITA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplagarita
272,EOI LAS PALMAS DE GRAN CANARIA,https://www3.gobiernodecanarias.org/medusa/mediateca/eoilaspalmasdegrancanaria
273,EOI LA LAGUNA,https://www3.gobiernodecanarias.org/medusa/mediateca/eoilalaguna
274,EL MONTE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipelmonte
276,MEDIATECA IES EL CHAPATAL,https://www3.gobiernodecanarias.org/medusa/mediateca/ieselchapatal
277,Mediateca IES Padre Anchieta,https://www3.gobiernodecanarias.org/medusa/mediateca/iespadreanchieta
278,IES Santo Tomás de Aquino,https://www3.gobiernodecanarias.org/medusa/mediateca/iessantotomasdeaquino
279,CEIP FRANCISCA PÉREZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipfranciscaperez
280,MEDIATECA CEO ARGANA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceoargana
281,Cooperación y Solidaridad,https://www3.gobiernodecanarias.org/medusa/mediateca/cooperacionysolidaridad
282,Guille_testing,https://www3.gobiernodecanarias.org/medusa/mediateca/otroscentrovirtualoficinamedusatfe
283,CEIP VIRGEN DE LOS VOLCANES,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipvirgendelosvolcanes
284,Onfraile,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipelfraile
285,CEIP LA HUBARA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplahubara
286,Alonsoteca,https://www3.gobiernodecanarias.org/medusa/mediateca/iesalonsoquesada
287,Mediateca CEIP Juan García Pérez,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjuangarciaperez
288,Princesa Tejina,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipprincesatejina
