numero,nombre,url,attachment_root_items,attachment_items,media_category_terms,post_date,error
130,CEIP TRAPICHE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipeltrapiche,86,119,86,2025-03-13 12:47:19,
131,Servicio de Actividades Complementarias y Extraescolares,https://www3.gobiernodecanarias.org/medusa/mediateca/servicioactividadescomplementarias,0,0,86,,
132,Martín Miranda Radio,https://www3.gobiernodecanarias.org/medusa/mediateca/iesprofesormartinmiranda,3566,3567,87,2025-08-21 10:08:19,
133,IES Villa de Firgas,https://www3.gobiernodecanarias.org/medusa/mediateca/iesvilladefirgas,128,234,86,2025-05-17 17:17:07,
134,MEDIATECA del CEIP DOCTOR GREGORIO CHIL,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipdoctorgregoriochilynaranjo,23,24,86,2025-05-18 17:01:29,
135,Mediateca La Rosa,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplarosacaminoviejo,1872,1877,86,2025-06-30 11:48:17,
136,MEDIATECA EASD GRAN CANARIA,https://www3.gobiernodecanarias.org/medusa/mediateca/easdgrancanaria,2,4,86,2021-02-04 13:16:15,
137,Mediateca del IES Santa María de Guía,https://www3.gobiernodecanarias.org/medusa/mediateca/iessantamariadeguia,84,98,86,2025-03-17 18:41:50,
138,Radio Alpaca,https://www3.gobiernodecanarias.org/medusa/mediateca/iesvegadesanmateo,22,22,86,2025-05-23 06:30:54,
139,Mediateca IES Bañaderos,https://www3.gobiernodecanarias.org/medusa/mediateca/iesbanaderos,9,12,86,2022-05-31 22:53:33,
140,CEIP SAN JOSÉ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsanjose,21,21,86,2024-04-20 11:03:52,
141,CEPA ARUCAS Y FIRGAS,https://www3.gobiernodecanarias.org/medusa/mediateca/cepaarucasyfirgasfernandomarreropulido,4,8,86,2021-03-04 13:16:22,
142,CEIP TÍNCER,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptincer,5,6,86,2024-10-23 11:54:01,
143,IES LUCAS MARTÍN ESPINO,https://www3.gobiernodecanarias.org/medusa/mediateca/ieslucasmartinespino,17,26,86,2025-02-01 16:21:45,
144,MEDIATECA GARCIA ESCAMEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipgarciaescamez,86,88,86,2025-04-25 12:21:33,
145,CEOBYM MEDIATECA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceobethencourtymolina,17,18,86,2025-03-25 08:12:30,
146,Mediateca IES Los Naranjeros,https://www3.gobiernodecanarias.org/medusa/mediateca/ieslosnaranjeros,4,4,86,2022-05-25 22:39:31,
147,Ceip Santa Cruz de California,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsantacruzdecalifornia,90,93,86,2025-06-05 09:49:28,
148,IES Casas Nuevas,https://www3.gobiernodecanarias.org/medusa/mediateca/iescasasnuevas,80,80,86,2025-06-18 10:51:00,
149,Rayca,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipramonycajal,218,218,86,2025-06-20 07:14:32,
150,CEIP TOMÁS DE IRIARTE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptomasdeiriarte,10,13,86,2021-06-26 08:12:54,
151,IES ANA LUISA BENÍTEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/iesanaluisabenitez,0,0,86,,
152,Mediateca del Monzón,https://www3.gobiernodecanarias.org/medusa/mediateca/iesfranciscohernandezmonzon,2,4,86,2021-03-08 12:32:16,
153,CEIP MONTAÑA ROJA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmontanaroja,755,852,86,2025-06-18 17:12:17,
154,Colegio Pintor Manolo Millares,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippintormanolomillares,8,8,86,2022-03-24 18:43:36,
155,MediatecaJCR,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjuancruzruiz,116,117,86,2025-05-18 18:55:10,
156,CEIP Mª del Carmen Fernández Melián,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmariadelcarmenfernandezmelian,180,181,86,2025-06-30 11:23:11,
157,Canal de Igualdad y Educación Afectivo Sexual,https://www3.gobiernodecanarias.org/medusa/mediateca/igualdad,43,48,87,2024-03-21 08:26:46,
158,CEIP ADOLFO TOPHAM,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipadolfotopham,4,4,86,2025-04-02 15:21:36,
159,IES CANDIDO MARANTE EXPÓSITO,https://www3.gobiernodecanarias.org/medusa/mediateca/iescandidomaranteexposito,26,28,86,2024-04-10 18:40:34,
160,Mediateca del IES Cairasco de Figueroa,https://www3.gobiernodecanarias.org/medusa/mediateca/iescairascodefigueroa,65,65,27,2025-06-29 18:59:41,
161,IES EUSEBIO BARRETO LORENZO,https://www3.gobiernodecanarias.org/medusa/mediateca/ieseusebiobarretolorenzo,0,0,86,,
162,CEIP BILINGÜE FERNANDO LEÓN Y CASTILLO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipfernandoleonycastillo,19,19,86,2025-06-18 11:20:03,
163,CEIP IBERIA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipiberia,50,58,87,2025-06-02 09:13:57,
164,El Jable,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcostacalma,1,1,86,2022-03-02 11:57:16,
